team,year
Austria,2014
Belgium,2014
Bosnia and Herzegovina,2014
Croatia,2014
Czech Republic,2014
England,2014
France,2014
Germany,2014
Netherlands,2014
Norway,2014
Portugal,2014
Scotland,2014
Spain,2014
Sweden,2014
Switzerland,2014
Turkey,2014
Argentina,2014
Brazil,2014
Colombia,2014
Ecuador,2014
Paraguay,2014
Uruguay,2014
Algeria,2014
Cabo Verde,2014
Congo DR,2014
Ivory Coast,2014
Egypt,2014
Ghana,2014
Morocco,2014
Senegal,2014
South Africa,2014
Tunisia,2014
Canada,2014
Mexico,2014
USA,2014
Curacao,2014
Haiti,2014
Panama,2014
Australia,2014
Iran,2014
Iraq,2014
Japan,2014
Jordan,2014
Korea Republic,2014
Qatar,2014
Saudi Arabia,2014
Uzbekistan,2014
New Zealand,2014
Austria,2018
Belgium,2018
Bosnia and Herzegovina,2018
Croatia,2018
Czech Republic,2018
England,2018
France,2018
Germany,2018
Netherlands,2018
Norway,2018
Portugal,2018
Scotland,2018
Spain,2018
Sweden,2018
Switzerland,2018
Turkey,2018
Argentina,2018
Brazil,2018
Colombia,2018
Ecuador,2018
Paraguay,2018
Uruguay,2018
Algeria,2018
Cabo Verde,2018
Congo DR,2018
Ivory Coast,2018
Egypt,2018
Ghana,2018
Morocco,2018
Senegal,2018
South Africa,2018
Tunisia,2018
Canada,2018
Mexico,2018
USA,2018
Curacao,2018
Haiti,2018
Panama,2018
Australia,2018
Iran,2018
Iraq,2018
Japan,2018
Jordan,2018
Korea Republic,2018
Qatar,2018
Saudi Arabia,2018
Uzbekistan,2018
New Zealand,2018
Austria,2022
Belgium,2022
Bosnia and Herzegovina,2022
Croatia,2022
Czech Republic,2022
England,2022
France,2022
Germany,2022
Netherlands,2022
Norway,2022
Portugal,2022
Scotland,2022
Spain,2022
Sweden,2022
Switzerland,2022
Turkey,2022
Argentina,2022
Brazil,2022
Colombia,2022
Ecuador,2022
Paraguay,2022
Uruguay,2022
Algeria,2022
Cabo Verde,2022
Congo DR,2022
Ivory Coast,2022
Egypt,2022
Ghana,2022
Morocco,2022
Senegal,2022
South Africa,2022
Tunisia,2022
Canada,2022
Mexico,2022
USA,2022
Curacao,2022
Haiti,2022
Panama,2022
Australia,2022
Iran,2022
Iraq,2022
Japan,2022
Jordan,2022
Korea Republic,2022
Qatar,2022
Saudi Arabia,2022
Uzbekistan,2022
New Zealand,2022